nct_id,name,city,country
NCT00602355,University of Iowa,Iowa City,United States
NCT00602355,Women and Infants Hospital,Providence,United States
NCT02883686,Kaiser Permanente of Colorado,Aurora,United States
NCT02883686,University of Colorado Boulder,Boulder,United States
NCT04278456,Erzincan Byu,Erzincan,Turkey
NCT04437342,"""Elena Venizelou"" General and Maternity Hospital of Athens",Athens,Greece
NCT05314361,McMaster University,Hamilton,Canada
NCT04051320,University of North Carolina at Chapel Hill School of Medicine,Chapel Hill,United States
NCT04437342,Aretaieio University Hospital,Athens,Greece
NCT04437342,Alexandra Genaral Hospital Athens,Athens,Greece
NCT04437342,University of Ioannina Health Science,Ioannina,Greece
NCT04437342,"University of Ioannina, Medical School",Ioannina,Greece
NCT04437342,University of Thessaly Medical School,Larisa,Greece
NCT04146025,University of Pennsylvania,Philadelphia,United States
NCT04384887,Pinar Yalcin Bahat,Istanbul,Turkey
NCT05520580,Hanover medical school,Hanover,Germany
NCT04135612,Wolfson medical center,Holon,Israel
NCT04135612,Wolfson medical center,H̱olon,Israel
NCT03460756,Marinus Research Site,Atlanta,United States
NCT03460756,Marinus Research Site,Glendale,United States
NCT03460756,Marinus Research Site,Lemon Grove,United States
NCT03460756,Marinus Research Site,Long Beach,United States
NCT03460756,Marinus Research Site,Oceanside,United States
NCT03460756,Marinus Research Site,Panorama City,United States
NCT03460756,Marinus Research Site,San Bernardino,United States
NCT03460756,Marinus Research Site,San Marcos,United States
NCT03460756,Marinus Research Site,Ventura,United States
NCT03460756,Marinus Research Site,Gainesville,United States
NCT03460756,Marinus Research Site,Hollywood,United States
NCT03460756,Marinus Research Site,Jacksonville,United States
NCT03460756,Marinus Research Site,North Miami,United States
NCT05997953,"Faculty od Medicine, Department of Obstetrics and Gynecology.",Cairo,Egypt
NCT03596879,Henry Ford Medical Center,Novi,United States
NCT03460756,Marinus Research Site,Atlanta,United States
NCT03460756,Marinus Research Site,Decatur,United States
NCT03460756,Marinus Research Site,Marietta,United States
NCT03460756,Marinus Research Site,Idaho Falls,United States
NCT01838889,Primary Care; Mother and Baby Clinics,Borough of Blackburn with Darwen; Burnley; Preston; Manchester,United Kingdom
NCT03460756,Marinus Research Site,Hoffman Estates,United States
NCT05186272,Kaiser Permanente Northern California,Oakland,United States
NCT03460756,Marinus Research Site,Leawood,United States
NCT03460756,Marinus Research Site,Wichita,United States
NCT03460756,Marinus Research Site,Flowood,United States
NCT03460756,Marinus Research Site,Las Vegas,United States
NCT03460756,Marinus Research Site,Albuquerque,United States
NCT03460756,Marinus Research Site,Raleigh,United States
NCT03460756,Marinus Research Site,Englewood,United States
NCT05097586,Sunnybrook Health Sciences Centre,Toronto,Canada
NCT05097586,Women's College Hospital,Toronto,Canada
NCT03460756,Marinus Research Site,Downingtown,United States
NCT04680585,Women's College Hospital,Toronto,Canada
NCT03460756,Marinus Research Site,Media,United States
NCT03460756,Marinus Research Site,Houston,United States
NCT03460756,Marinus Research Site,Irving,United States
NCT03460756,Marinus Research Site,League City,United States
NCT03460756,Marinus Research Site,San Antonio,United States
NCT03460756,Marinus Research Site,Orem,United States
NCT03460756,Marinus Research Site,Richmond,United States
NCT03228394,Marinus Research Site,Lemon Grove,United States
